Function,File,Line,Time (s),Relative Scale (×min)
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000017,18.25
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000051,53.00
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000010,10.00
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000002,1.75
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000006,6.00
fail,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,599,0.000001,1.00
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000055,58.00
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000038,40.00
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000073,77.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000501,525.75
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000533,558.50
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000559,586.00
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.75
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000017,18.25
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000598,627.50
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000012,12.75
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000019,19.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000605,634.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000643,674.25
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000018,19.25
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.50
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000036,37.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000011,11.50
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000010,10.50
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000017,18.00
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000048,50.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000010,10.25
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000001,1.25
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000005,5.25
fail,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,599,0.000001,1.00
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000068,71.50
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000039,40.50
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000044,46.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000501,525.75
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000538,564.00
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000567,595.00
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000015,15.75
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000026,26.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000629,659.75
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.25
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000017,18.25
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000605,634.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000643,674.50
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.50
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000018,19.00
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.50
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000017,18.00
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000011,11.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000011,11.50
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000020,20.50
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000071,74.00
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000003,2.75
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000002,2.00
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000010,10.00
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000001,1.50
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000005,5.50
type,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,412,0.000006,6.25
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000081,85.25
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000033,34.75
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000051,53.75
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000525,550.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000557,584.25
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000577,604.75
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000012,12.75
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000019,19.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000620,650.50
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.50
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000014,15.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000507,532.00
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000593,621.75
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000009,9.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000015,15.50
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000012,12.25
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000017,17.75
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000012,12.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000010,10.50
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000016,16.50
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000043,45.00
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000009,9.75
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000001,1.50
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000005,5.50
done,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,590,0.000002,2.50
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000085,89.50
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000050,52.25
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000487,511.00
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000528,553.25
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000545,571.50
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000016,17.25
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000582,610.25
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000011,12.00
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000021,21.75
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000626,656.50
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000661,692.75
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000010,10.00
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000016,16.75
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000011,12.00
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000021,22.50
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000015,15.25
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000015,16.00
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000025,25.75
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000062,65.25
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000017,18.25
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000002,1.75
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000008,8.75
done,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,590,0.000002,2.00
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000103,107.75
